Company_Brand,HeadQuarter,Sector,Amount,Funding Year
Thecollegefever,Bengaluru,E-Commerce and Retail,250000,2018
Happy Cow Dairy,Mumbai,Other,584000,2018
Myloancare,Gurgaon,Banking and Financial Services,949000,2018
Payme India,Noida,Banking and Financial Services,2000000,2018
Eunimart,Hyderabad,E-Commerce and Retail,0,2018
Hasura,Bengaluru,Information Technology (IT),1600000,2018
Tripshelf,Kalkaji,Information Technology (IT),233600,2018
Hyperdata.Io,Hyderabad,E-Commerce and Retail,730000,2018
Freightwalla,Mumbai,Information Technology (IT),0,2018
Microchip Payments,Bengaluru,Banking and Financial Services,0,2018
Bizcrum Infotech Pvt. Ltd.,Delhi,E-Commerce and Retail,0,2018
Emojifi,Bengaluru,Information Technology (IT),0,2018
Flock,Unknown,Information Technology (IT),0,2018
Freshboxx,Hubli,Agriculture and Food Production,0,2018
Wide Mobility Mechatronics,Bengaluru,Manufacturing,0,2018
Pitstop,Bengaluru,Manufacturing,1460000,2018
Mihuru,Mumbai,Banking and Financial Services,150000,2018
Fyle,Bengaluru,Banking and Financial Services,1100000,2018
Appwharf,Delhi,Information Technology (IT),0,2018
Antariksh Waste Ventures Pvt Ltd,Chennai,Information Technology (IT),7300,2018
Cogoport,Mumbai,Transportation and Tourism,6000000,2018
Paisadukan,Mumbai,Banking and Financial Services,650000,2018
Sleepy Owl Coffee,Delhi,Agriculture and Food Production,511000,2018
Bluejack,Delhi,Manufacturing,934400,2018
Pregbuddy,Bengaluru,Information Technology (IT),0,2018
Agnext Technologies,Mohali,Other,0,2018
Pando,Chennai,Transportation and Tourism,2000000,2018
Mintifi,Mumbai,Banking and Financial Services,2000000,2018
Carcrew,Mumbai,Manufacturing,2000000,2018
Nicheai,Hyderabad,Information Technology (IT),0,2018
Chariot Tech,Delhi,Information Technology (IT),292000,2018
Ideal Insurance Brokers/ 121Policy.Com,Kolkata,Banking and Financial Services,1000000,2018
Loanzen,Bengaluru,Banking and Financial Services,0,2018
Mojro Technologies,Bengaluru,Information Technology (IT),650000,2018
Elemential,Mumbai,Blockchain,1000000,2018
Loadshare,Bengaluru,Manufacturing,5000000,2018
Yumlane,Mumbai,Agriculture and Food Production,4000000,2018
